,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,The Shandygaff,Adam's Apple,The Brewery,Jax Bar & Kitchen,Doggie's Pub,Bill Pickles Tap Room,Zeno's,Local Whiskey,Phyrst,Champs Downtown,The Tavern,Central Reservation,Chumley's,Alla Spina at HiWay,Primanti Bros. Restaurant and Bar State College,The Saloon,Social Food + Drink,The Corner Room,Allen Street Grill
1,The Shandygaff,0,40,135,88,89,219,271,250,252,244,88,269,291,360,318,344,162,267,273
2,Adam's Apple,40,0,95,128,130,259,307,252,254,284,88,271,327,363,318,347,138,303,309
3,The Brewery,135,95,0,219,220,351,402,194,196,275,182,213,422,420,297,404,80,398,404
4,Jax Bar & Kitchen,88,128,219,0,1,196,183,227,229,221,94,246,203,386,406,371,139,179,185
5,Doggie's Pub,89,130,220,1,0,201,182,228,230,222,93,247,201,385,407,369,140,178,184
6,Bill Pickles Tap Room,219,259,351,196,197,0,51,157,155,76,239,138,71,531,537,516,271,47,53
7,Zeno's,271,307,402,183,182,51,0,208,206,127,220,189,20,512,585,496,321,4,2
8,Local Whiskey,250,252,194,227,228,157,208,0,2,81,321,19,228,614,492,598,114,204,210
9,Phyrst,252,254,196,229,230,155,206,2,0,79,323,17,226,616,494,600,116,202,208
10,Champs Downtown,244,284,275,221,222,76,127,81,79,0,315,62,147,607,561,591,195,123,129
11,The Tavern,88,88,182,94,93,239,220,321,323,315,0,340,239,292,365,276,226,216,222
12,Central Reservation,269,271,213,246,247,138,189,19,17,62,340,0,209,633,510,617,133,185,191
13,Chumley's,291,327,422,203,201,71,20,228,226,147,239,209,0,532,605,516,341,24,18
14,Alla Spina at HiWay,360,363,420,386,385,531,512,613,615,607,292,632,532,0,123,16,501,508,514
15,Primanti Bros. Restaurant and Bar State College,318,318,297,406,407,537,585,492,494,561,365,510,605,123,0,107,378,581,587
16,The Saloon,344,347,404,371,369,516,496,598,600,591,276,617,516,16,107,0,485,492,498
17,Social Food + Drink,162,138,80,139,140,271,322,114,116,195,226,133,342,500,378,484,0,318,324
18,The Corner Room,267,303,398,179,178,47,4,204,202,123,216,185,24,508,581,492,318,0,6
19,Allen Street Grill,273,309,404,185,184,53,2,210,208,129,222,191,18,514,587,498,324,6,0
